"No.","Time","Source","Destination","Protocol","Length","Info"
"43","11.881969","2405:201:5006:95a:3ddc:1390:95b:795e","2600:1901:1:304::","TCP","74","50383  >  443 [ACK] Seq=36 Ack=6374 Win=517 Len=0"
"44","12.535957","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","1294","Application Data"
"45","12.536177","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","1294","Application Data"
"46","12.536206","2405:201:5006:95a:3ddc:1390:95b:795e","2600:1901:1:304::","TCP","74","50383  >  443 [ACK] Seq=36 Ack=8814 Win=517 Len=0"
"47","12.536931","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","1294","Application Data"
"48","12.536931","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","1294","Application Data"
"49","12.536972","2405:201:5006:95a:3ddc:1390:95b:795e","2600:1901:1:304::","TCP","74","50383  >  443 [ACK] Seq=36 Ack=11254 Win=517 Len=0"
"50","12.538068","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","1294","Application Data"
"51","12.538068","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","1294","Application Data"
"52","12.538140","2405:201:5006:95a:3ddc:1390:95b:795e","2600:1901:1:304::","TCP","74","50383  >  443 [ACK] Seq=36 Ack=13694 Win=517 Len=0"
"53","12.539450","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","208","Application Data"
"54","12.594586","2405:201:5006:95a:3ddc:1390:95b:795e","2600:1901:1:304::","TCP","74","50383  >  443 [ACK] Seq=36 Ack=13828 Win=516 Len=0"
"55","12.608934","15.197.193.114","192.168.29.143","TLSv1.2","85","Application Data"
"56","12.609427","192.168.29.143","15.197.193.114","TLSv1.2","89","Application Data"
"57","12.624701","15.197.193.114","192.168.29.143","TCP","54","443  >  50151 [ACK] Seq=32 Ack=36 Win=409 Len=0"
"58","13.139284","2405:201:5006:95a:3ddc:1390:95b:795e","2405:201:5006:95a::c0a8:1d01","DNS","89","Standard query 0x980e AAAA i.scdn.co"
"59","13.139696","2405:201:5006:95a:3ddc:1390:95b:795e","2405:201:5006:95a::c0a8:1d01","DNS","89","Standard query 0x2b2a A i.scdn.co"
"60","13.140048","2405:201:5006:95a:3ddc:1390:95b:795e","2405:201:5006:95a::c0a8:1d01","DNS","89","Standard query 0x2361 HTTPS i.scdn.co"
"61","13.151083","2405:201:5006:95a::c0a8:1d01","2405:201:5006:95a:3ddc:1390:95b:795e","DNS","375","Standard query response 0x2361 HTTPS i.scdn.co CNAME image-scdn.cdn-gslb.spotify.com CNAME common-eipb-ak.spotifycdn.com.edgesuite.net CNAME squadcdn.scdn.co.splitter-eip.akadns.net CNAME i.scdn.co-noeip.akamaized.net CNAME a1520.dscc.akamai.net SOA n0dscc.akamai.net"
"62","13.153501","2405:201:5006:95a::c0a8:1d01","2405:201:5006:95a:3ddc:1390:95b:795e","DNS","458","Standard query response 0x2b2a A i.scdn.co CNAME image-scdn.cdn-gslb.spotify.com CNAME common-eipb-ak.spotifycdn.com.edgesuite.net CNAME squadcdn.scdn.co.splitter-eip.akadns.net CNAME i.scdn.co-noeip.akamaized.net CNAME a1520.dscc.akamai.net A 49.44.179.202 A 49.44.179.147 A 49.44.179.203 A 49.44.179.187 A 49.44.179.184 A 49.44.179.162 A 49.44.179.192 A 49.44.179.176 A 49.44.179.146"
"63","13.154631","2405:201:5006:95a::c0a8:1d01","2405:201:5006:95a:3ddc:1390:95b:795e","DNS","454","Standard query response 0x980e AAAA i.scdn.co CNAME image-scdn.cdn-gslb.spotify.com CNAME common-eipb-ak.spotifycdn.com.edgesuite.net CNAME squadcdn.scdn.co.splitter-eip.akadns.net CNAME i.scdn.co-noeip.akamaized.net CNAME a1520.dscc.akamai.net AAAA 2405:200:1630:1200::312c:b3b8 AAAA 2405:200:1630:1200::312c:b39a AAAA 2405:200:1630:1200::312c:b3b1 AAAA 2405:200:1630:1200::312c:b3b2 AAAA 2405:200:1630:1200::312c:b3ba"
"64","13.155658","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","86","50531  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"65","13.167331","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","86","443  >  50531 [SYN, ACK] Seq=0 Ack=1 Win=64800 Len=0 MSS=1344 SACK_PERM WS=128"
"66","13.167409","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"67","13.168015","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","1418","50531  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1344 [TCP PDU reassembled in 68]"
"68","13.168015","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TLSv1.3","736","Client Hello (SNI=i.scdn.co)"
"69","13.184895","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.3","338","Server Hello, Change Cipher Spec, Application Data, Application Data"
"70","13.185276","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TLSv1.3","154","Change Cipher Spec, Application Data"
"71","13.185474","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TLSv1.3","166","Application Data"
"72","13.185726","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TLSv1.3","375","Application Data"
"73","13.197677","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","74","443  >  50531 [ACK] Seq=265 Ack=2087 Win=64128 Len=0"
"74","13.198012","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.3","345","Application Data"
"75","13.199467","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","74","443  >  50531 [ACK] Seq=536 Ack=2179 Win=64128 Len=0"
"76","13.199778","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","74","443  >  50531 [ACK] Seq=536 Ack=2480 Win=64128 Len=0"
"77","13.202021","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.3","135","Application Data"
"78","13.202088","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2480 Ack=597 Win=131072 Len=0"
"79","13.202281","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TLSv1.3","105","Application Data"
"80","13.202369","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.3","105","Application Data"
"81","13.209129","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.3","375","Application Data"
"82","13.209200","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=929 Win=130560 Len=0"
"83","13.209438","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.3","1415","Application Data"
"84","13.209493","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=2270 Win=131584 Len=0"
"85","13.219738","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=2270 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 99]"
"86","13.219811","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=3710 Win=131584 Len=0"
"87","13.220578","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=3710 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 99]"
"88","13.220906","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=5150 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 99]"
"89","13.220906","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=6590 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 99]"
"90","13.220955","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=8030 Win=131584 Len=0"
"91","13.221212","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=8030 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 99]"
"92","13.221257","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=9470 Win=131584 Len=0"
"93","13.221893","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [PSH, ACK] Seq=9470 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 99]"
"94","13.221893","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=10910 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 99]"
"95","13.221893","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=12350 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 99]"
"96","13.221893","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=13790 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 99]"
"97","13.221893","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=15230 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 99]"
"98","13.221893","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=16670 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 99]"
"99","13.221893","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.3","640","Application Data"
"100","13.221893","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.3","105","Application Data"
"101","13.221893","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=18707 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 114]"
"102","13.221893","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=20147 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 114]"
"103","13.222013","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=21587 Win=131584 Len=0"
"104","13.222303","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=21587 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 114]"
"105","13.222303","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=23027 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 114]"
"106","13.222303","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=24467 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 114]"
"107","13.222303","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [PSH, ACK] Seq=25907 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 114]"
"108","13.222303","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=27347 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 114]"
"109","13.222303","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=28787 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 114]"
"110","13.222303","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=30227 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 114]"
"111","13.222303","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=31667 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 114]"
"112","13.222390","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=33107 Win=131584 Len=0"
"113","13.222686","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=33107 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 114]"
"114","13.222686","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.3","1514","Application Data, Application Data"
"115","13.222686","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=35987 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 127]"
"116","13.222686","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=37427 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 127]"
"117","13.222686","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=38867 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 127]"
"118","13.222686","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=40307 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 127]"
"119","13.222686","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=41747 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 127]"
"120","13.222686","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [PSH, ACK] Seq=43187 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 127]"
"121","13.222783","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=44627 Win=131584 Len=0"
"122","13.223722","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=44627 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 127]"
"123","13.223722","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=46067 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 127]"
"124","13.223722","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=47507 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 127]"
"125","13.223722","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=48947 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 127]"
"126","13.223798","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=50387 Win=131584 Len=0"
"127","13.223977","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.3","1514","Application Data, Application Data"
"128","13.223977","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [PSH, ACK] Seq=51827 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 142]"
"129","13.224013","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=53267 Win=131584 Len=0"
"130","13.224720","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=53267 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 142]"
"131","13.224720","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=54707 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 142]"
"132","13.224720","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=56147 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 142]"
"133","13.224720","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=57587 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 142]"
"134","13.224720","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=59027 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 142]"
"135","13.224720","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [PSH, ACK] Seq=60467 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 142]"
"136","13.224807","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=61907 Win=131584 Len=0"
"137","13.225780","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=61907 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 142]"
"138","13.225780","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=63347 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 142]"
"139","13.225780","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=64787 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 142]"
"140","13.225780","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=66227 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 142]"
"141","13.225857","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=67667 Win=131584 Len=0"
"142","13.226153","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.3","1514","Application Data, Application Data"
"143","13.226153","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [PSH, ACK] Seq=69107 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 157]"
"144","13.226231","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=70547 Win=131584 Len=0"
"145","13.227135","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [ACK] Seq=70547 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 157]"
"146","13.227135","2405:200:1630:1200::312c:b3b8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","1514","443  >  50531 [PSH, ACK] Seq=71987 Ack=2511 Win=64128 Len=1440 [TCP PDU reassembled in 157]"
"147","13.227200","2405:201:5006:95a:3ddc:1390:95b:795e","2405:200:1630:1200::312c:b3b8","TCP","74","50531  >  443 [ACK] Seq=2511 Ack=73427 Win=131584 Len=0"
